# beardifier compute golden (BeardProbe)
# affected -54 -84 -54 82 36 71
-70 -71 -35 0000000000000000
-70 -71 -28 0000000000000000
-70 -71 -21 0000000000000000
-70 -71 -14 0000000000000000
-70 -71 -7 0000000000000000
-70 -71 0 0000000000000000
-70 -71 7 0000000000000000
-70 -71 14 0000000000000000
-70 -71 21 0000000000000000
-70 -71 28 0000000000000000
-70 -71 35 0000000000000000
-70 -71 42 0000000000000000
-70 -71 49 0000000000000000
-70 -71 56 0000000000000000
-70 -71 63 0000000000000000
-70 -71 70 0000000000000000
-70 -71 77 0000000000000000
-70 -71 84 0000000000000000
-70 -71 91 0000000000000000
-70 -71 98 0000000000000000
-70 -68 -70 0000000000000000
-70 -68 -63 0000000000000000
-70 -68 -56 0000000000000000
-70 -68 -49 0000000000000000
-70 -68 -42 0000000000000000
-70 -68 -35 0000000000000000
-70 -68 -28 0000000000000000
-70 -68 -21 0000000000000000
-70 -68 -14 0000000000000000
-70 -68 -7 0000000000000000
-70 -68 0 0000000000000000
-70 -68 7 0000000000000000
-70 -68 14 0000000000000000
-70 -68 21 0000000000000000
-70 -68 28 0000000000000000
-70 -68 35 0000000000000000
-70 -68 42 0000000000000000
-70 -68 49 0000000000000000
-70 -68 56 0000000000000000
-70 -68 63 0000000000000000
-70 -68 70 0000000000000000
-70 -68 77 0000000000000000
-70 -68 84 0000000000000000
-70 -68 91 0000000000000000
-70 -68 98 0000000000000000
-70 -65 -70 0000000000000000
-70 -65 -63 0000000000000000
-70 -65 -56 0000000000000000
-70 -65 -49 0000000000000000
-70 -65 -42 0000000000000000
-70 -65 -35 0000000000000000
-70 -65 -28 0000000000000000
-70 -65 -21 0000000000000000
-70 -65 -14 0000000000000000
-70 -65 -7 0000000000000000
-70 -65 0 0000000000000000
-70 -65 7 0000000000000000
-70 -65 14 0000000000000000
-70 -65 21 0000000000000000
-70 -65 28 0000000000000000
-70 -65 35 0000000000000000
-70 -65 42 0000000000000000
-70 -65 49 0000000000000000
-70 -65 56 0000000000000000
-70 -65 63 0000000000000000
-70 -65 70 0000000000000000
-70 -65 77 0000000000000000
-70 -65 84 0000000000000000
-70 -65 91 0000000000000000
-70 -65 98 0000000000000000
-70 -62 -70 0000000000000000
-70 -62 -63 0000000000000000
-70 -62 -56 0000000000000000
-70 -62 -49 0000000000000000
-70 -62 -42 0000000000000000
-70 -62 -35 0000000000000000
-70 -62 -28 0000000000000000
-70 -62 -21 0000000000000000
-70 -62 -14 0000000000000000
-70 -62 -7 0000000000000000
-70 -62 0 0000000000000000
-70 -62 7 0000000000000000
-70 -62 14 0000000000000000
-70 -62 21 0000000000000000
-70 -62 28 0000000000000000
-70 -62 35 0000000000000000
-70 -62 42 0000000000000000
-70 -62 49 0000000000000000
-70 -62 56 0000000000000000
-70 -62 63 0000000000000000
-70 -62 70 0000000000000000
-70 -62 77 0000000000000000
-70 -62 84 0000000000000000
-70 -62 91 0000000000000000
-70 -62 98 0000000000000000
-70 -59 -70 0000000000000000
-70 -59 -63 0000000000000000
-70 -59 -56 0000000000000000
-70 -59 -49 0000000000000000
-70 -59 -42 0000000000000000
-70 -59 -35 0000000000000000
-70 -59 -28 0000000000000000
-70 -59 -21 0000000000000000
-70 -59 -14 0000000000000000
-70 -59 -7 0000000000000000
-70 -59 0 0000000000000000
-70 -59 7 0000000000000000
-70 -59 14 0000000000000000
-70 -59 21 0000000000000000
-70 -59 28 0000000000000000
-70 -59 35 0000000000000000
-70 -59 42 0000000000000000
-70 -59 49 0000000000000000
-70 -59 56 0000000000000000
-70 -59 63 0000000000000000
-70 -59 70 0000000000000000
-70 -59 77 0000000000000000
-70 -59 84 0000000000000000
-70 -59 91 0000000000000000
-70 -59 98 0000000000000000
-70 -56 -70 0000000000000000
-70 -56 -63 0000000000000000
-70 -56 -56 0000000000000000
-70 -56 -49 0000000000000000
-70 -56 -42 0000000000000000
-70 -56 -35 0000000000000000
-70 -56 -28 0000000000000000
-70 -56 -21 0000000000000000
-70 -56 -14 0000000000000000
-70 -56 -7 0000000000000000
-70 -56 0 0000000000000000
-70 -56 7 0000000000000000
-70 -56 14 0000000000000000
-70 -56 21 0000000000000000
-70 -56 28 0000000000000000
-70 -56 35 0000000000000000
-70 -56 42 0000000000000000
-70 -56 49 0000000000000000
-70 -56 56 0000000000000000
-70 -56 63 0000000000000000
-70 -56 70 0000000000000000
-70 -56 77 0000000000000000
-70 -56 84 0000000000000000
-70 -56 91 0000000000000000
-70 -56 98 0000000000000000
-70 -53 -70 0000000000000000
-70 -53 -63 0000000000000000
-70 -53 -56 0000000000000000
-70 -53 -49 0000000000000000
-70 -53 -42 0000000000000000
-70 -53 -35 0000000000000000
-70 -53 -28 0000000000000000
-70 -53 -21 0000000000000000
-70 -53 -14 0000000000000000
-70 -53 -7 0000000000000000
-70 -53 0 0000000000000000
-70 -53 7 0000000000000000
-70 -53 14 0000000000000000
-70 -53 21 0000000000000000
-70 -53 28 0000000000000000
-70 -53 35 0000000000000000
-70 -53 42 0000000000000000
-70 -53 49 0000000000000000
-70 -53 56 0000000000000000
-70 -53 63 0000000000000000
-70 -53 70 0000000000000000
-70 -53 77 0000000000000000
-70 -53 84 0000000000000000
-70 -53 91 0000000000000000
-70 -53 98 0000000000000000
-70 -50 -70 0000000000000000
-70 -50 -63 0000000000000000
-70 -50 -56 0000000000000000
-70 -50 -49 0000000000000000
-70 -50 -42 0000000000000000
-70 -50 -35 0000000000000000
-70 -50 -28 0000000000000000
-70 -50 -21 0000000000000000
-70 -50 -14 0000000000000000
-70 -50 -7 0000000000000000
-70 -50 0 0000000000000000
-70 -50 7 0000000000000000
-70 -50 14 0000000000000000
-70 -50 21 0000000000000000
-70 -50 28 0000000000000000
-70 -50 35 0000000000000000
-70 -50 42 0000000000000000
-70 -50 49 0000000000000000
-70 -50 56 0000000000000000
-70 -50 63 0000000000000000
-70 -50 70 0000000000000000
-70 -50 77 0000000000000000
-70 -50 84 0000000000000000
-70 -50 91 0000000000000000
-70 -50 98 0000000000000000
-70 -47 -70 0000000000000000
-70 -47 -63 0000000000000000
-70 -47 -56 0000000000000000
-70 -47 -49 0000000000000000
-70 -47 -42 0000000000000000
-70 -47 -35 0000000000000000
-70 -47 -28 0000000000000000
-70 -47 -21 0000000000000000
-70 -47 -14 0000000000000000
-70 -47 -7 0000000000000000
-70 -47 0 0000000000000000
-70 -47 7 0000000000000000
-70 -47 14 0000000000000000
-70 -47 21 0000000000000000
-70 -47 28 0000000000000000
-70 -47 35 0000000000000000
-70 -47 42 0000000000000000
-70 -47 49 0000000000000000
-70 -47 56 0000000000000000
-70 -47 63 0000000000000000
-70 -47 70 0000000000000000
-70 -47 77 0000000000000000
-70 -47 84 0000000000000000
-70 -47 91 0000000000000000
-70 -47 98 0000000000000000
-70 -44 -70 0000000000000000
-70 -44 -63 0000000000000000
-70 -44 -56 0000000000000000
-70 -44 -49 0000000000000000
-70 -44 -42 0000000000000000
-70 -44 -35 0000000000000000
-70 -44 -28 0000000000000000
-70 -44 -21 0000000000000000
-70 -44 -14 0000000000000000
-70 -44 -7 0000000000000000
-70 -44 0 0000000000000000
-70 -44 7 0000000000000000
-70 -44 14 0000000000000000
-70 -44 21 0000000000000000
-70 -44 28 0000000000000000
-70 -44 35 0000000000000000
-70 -44 42 0000000000000000
-70 -44 49 0000000000000000
-70 -44 56 0000000000000000
-70 -44 63 0000000000000000
-70 -44 70 0000000000000000
-70 -44 77 0000000000000000
-70 -44 84 0000000000000000
-70 -44 91 0000000000000000
-70 -44 98 0000000000000000
-70 -41 -70 0000000000000000
-70 -41 -63 0000000000000000
-70 -41 -56 0000000000000000
-70 -41 -49 0000000000000000
-70 -41 -42 0000000000000000
-70 -41 -35 0000000000000000
-70 -41 -28 0000000000000000
-70 -41 -21 0000000000000000
-70 -41 -14 0000000000000000
-70 -41 -7 0000000000000000
-70 -41 0 0000000000000000
-70 -41 7 0000000000000000
-70 -41 14 0000000000000000
-70 -41 21 0000000000000000
-70 -41 28 0000000000000000
-70 -41 35 0000000000000000
-70 -41 42 0000000000000000
-70 -41 49 0000000000000000
-70 -41 56 0000000000000000
-70 -41 63 0000000000000000
-70 -41 70 0000000000000000
-70 -41 77 0000000000000000
-70 -41 84 0000000000000000
-70 -41 91 0000000000000000
-70 -41 98 0000000000000000
-70 -38 -70 0000000000000000
-70 -38 -63 0000000000000000
-70 -38 -56 0000000000000000
-70 -38 -49 0000000000000000
-70 -38 -42 0000000000000000
-70 -38 -35 0000000000000000
-70 -38 -28 0000000000000000
-70 -38 -21 0000000000000000
-70 -38 -14 0000000000000000
-70 -38 -7 0000000000000000
-70 -38 0 0000000000000000
-70 -38 7 0000000000000000
-70 -38 14 0000000000000000
-70 -38 21 0000000000000000
-70 -38 28 0000000000000000
-70 -38 35 0000000000000000
-70 -38 42 0000000000000000
-70 -38 49 0000000000000000
-70 -38 56 0000000000000000
-70 -38 63 0000000000000000
-70 -38 70 0000000000000000
-70 -38 77 0000000000000000
